Acero		
Tiempo	Fuerza	Desplazamiento
seg	N	mm
3.98	1800.251	0.3289375
3.99	1807.117	0.32975
4	1809.406	0.3305729
4.01	1812.363	0.3313958
4.02	1816.702	0.3322187
4.03	1822.233	0.3330417
4.04	1826.525	0.333875
4.05	1831.341	0.3346979
4.06	1835.012	0.3355312
4.07	1838.446	0.336375
4.08	1843.977	0.3372187
4.09	1847.267	0.3380521
4.1	1848.984	0.3388854
4.11	1856.184	0.3397188
4.12	1857.853	0.3405521
4.13	1860.809	0.341375
4.14	1863.48	0.3422083
4.15	1868.582	0.3430417
4.16	1872.396	0.3438854
4.17	1876.45	0.3447188
4.18	1880.026	0.3455625
4.19	1884.604	0.3464063
4.2	1891.851	0.3472604
4.21	1896	0.3481041
4.22	1897.764	0.3489375
4.23	1901.627	0.3497604
4.24	1903.725	0.3505833
4.25	1911.068	0.3514062
4.26	1916.456	0.3522291
4.27	1918.793	0.3530521
4.28	1921.988	0.353875
4.29	1924.515	0.3547083
4.3	1927.042	0.3555312
4.31	1930.714	0.3563646
4.32	1934.147	0.3571979
4.33	1937.628	0.3580417
4.34	1943.207	0.3588854
4.35	1947.784	0.3597187
4.36	1951.122	0.3605521
4.37	1953.84	0.3613854
4.38	1958.275	0.3622083
4.39	1963.711	0.3630417
4.4	1965.714	0.363875
4.41	1969.767	0.3647083
4.42	1970.53	0.3655521
4.43	1974.535	0.3663958
4.44	1980.305	0.3672396
4.45	1985.025	0.3680938
4.46	1989.841	0.3689271
4.47	1993.847	0.3697708
4.48	1996.899	0.3705938
4.49	2000.237	0.3714167
4.5	2005.005	0.3722396
4.51	2010.393	0.3730625
4.52	2013.111	0.3738854
4.53	2015.114	0.3747188
4.54	2017.88	0.3755417
4.55	2019.93	0.376375
4.56	2024.889	0.3772083
4.57	2028.608	0.3780521
4.58	2032.852	0.3788854
4.59	2036.81	0.3797292
4.6	2040.815	0.3805625
4.61	2044.725	0.3813854
4.62	2049.685	0.3822187
4.63	2049.828	0.3830521
4.64	2053.022	0.3838854
4.65	2058.411	0.3847187
4.66	2061.415	0.3855521
4.67	2062.988	0.3863854
4.68	2068.138	0.3872292
4.69	2072.62	0.3880729
4.7	2075.386	0.3889167
4.71	2080.154	0.3897604
4.72	2082.729	0.3906042
4.73	2087.116	0.3914271
4.74	2090.025	0.3922604
4.75	2092.361	0.3930729
4.76	2097.082	0.3938958
4.77	2101.135	0.3947187
4.78	2104.902	0.3955417
4.79	2106.81	0.3963646
4.8	2112.389	0.3971979
4.81	2115.536	0.3980312
4.82	2117.968	0.398875
4.83	2120.161	0.3997187
4.84	2123.213	0.4005521
4.85	2127.647	0.4013854
4.86	2132.988	0.4022188
4.87	2133.608	0.4030417
4.88	2139.235	0.403875
4.89	2141.762	0.4047083
4.9	2143.097	0.4055417
4.91	2148.581	0.4063854
4.92	2155.113	0.4072188
4.93	2157.879	0.4080625
4.94	2157.783	0.4089063
4.95	2163.792	0.4097604
4.96	2166.557	0.4106041
4.97	2168.941	0.4114375
4.98	2172.327	0.4122604
4.99	2175.522	0.4130833
5	2180.481	0.4139062
5.01	2182.15	0.4147291
5.02	2185.059	0.4155625
5.03	2189.064	0.416375
5.04	2190.495	0.4172083
5.05	2192.783	0.4180312
5.06	2197.552	0.4188646
5.07	2200.89	0.4197083
5.08	2205.753	0.4205521
5.09	2209.33	0.4213854
5.1	2211.38	0.4222187
5.11	2214.479	0.4230521
5.12	2217.15	0.423875
5.13	2219.295	0.4247083
5.14	2224.827	0.4255417
5.15	2227.736	0.426375
5.16	2230.215	0.4272083
5.17	2232.313	0.4280521
5.18	2234.554	0.4288958
5.19	2237.749	0.42975
5.2	2241.087	0.4305938
5.21	2241.469	0.4314375
5.22	2245.665	0.4322708
5.23	2253.437	0.4331042
5.24	2256.584	0.4339271
5.25	2256.441	0.43475
5.26	2258.635	0.4355625
5.27	2262.926	0.4363854
5.28	2265.596	0.4372188
5.29	2268.934	0.4380417
5.3	2271.461	0.438875
5.31	2275.133	0.4397083
5.32	2281.332	0.4405521
5.33	2283.239	0.4413958
5.34	2283.144	0.4422292
5.35	2285.91	0.4430625
5.36	2290.487	0.4438958
5.37	2293.015	0.4447187
5.38	2297.068	0.4455521
5.39	2297.926	0.4463854
5.4	2302.504	0.4472083
5.41	2306.08	0.4480416
5.42	2308.702	0.4488854
5.43	2311.85	0.4497292
5.44	2313.566	0.4505833
5.45	2316.713	0.4514271
5.46	2320.385	0.4522708
5.47	2322.483	0.4531042
5.48	2325.726	0.4539271
5.49	2329.159	0.45475
5.5	2333.403	0.4555729
5.51	2336.311	0.4563958
5.52	2338.743	0.4572292
5.53	2341.127	0.4580521
5.54	2342.224	0.458875
5.55	2345.133	0.4597083
5.56	2350.569	0.4605417
5.57	2351.189	0.461375
5.58	2353.859	0.4622187
5.59	2356.529	0.4630625
5.6	2359.295	0.4638958
5.61	2362.585	0.4647188
5.62	2365.017	0.4655521
5.63	2367.449	0.4663854
5.64	2371.216	0.4672083
5.65	2374.077	0.4680417
5.66	2375.031	0.468875
5.67	2376.27	0.4697188
5.68	2380.514	0.4705625
5.69	2383.518	0.4714063
5.7	2384.758	0.4722604
5.71	2388.334	0.4731041
5.72	2392.006	0.4739375
5.73	2393.961	0.4747708
5.74	2397.871	0.4755833
5.75	2401.495	0.4764062
5.76	2403.736	0.4772396
5.77	2406.931	0.4780521
5.78	2411.032	0.478875
5.79	2412.748	0.4796979
5.8	2412.987	0.4805312
5.81	2413.511	0.481375
5.82	2418.375	0.4822083
5.83	2421.284	0.4830521
5.84	2423.382	0.4838854
5.85	2425.861	0.4847187
5.86	2428.865	0.4855521
5.87	2432.442	0.486375
5.88	2433.3	0.4872083
5.89	2432.108	0.4880417
5.9	2435.493	0.488875
5.91	2438.545	0.4897083
5.92	2443.266	0.4905521
5.93	2446.318	0.4913958
5.94	2448.082	0.4922396
5.95	2450.943	0.4930938
5.96	2452.517	0.4939375
5.97	2454.567	0.4947708
5.98	2459.574	0.4955938
5.99	2459.049	0.4964167
6	2462.053	0.4972396
6.01	2465.057	0.4980729
6.02	2467.823	0.4988958
6.03	2470.159	0.4997188
6.04	2473.45	0.5005417
6.05	2475.5	0.501375
6.06	2476.978	0.5022084
6.07	2479.792	0.5030521
6.08	2480.65	0.5038854
6.09	2483.368	0.5047292
6.1	2486.467	0.5055625
6.11	2486.944	0.5063854
6.12	2487.516	0.5072187
6.13	2491.331	0.5080521
6.14	2494.335	0.5088854
6.15	2496.862	0.5097187
6.16	2496.624	0.510552
6.17	2499.39	0.5113854
6.18	2502.537	0.5122291
6.19	2505.589	0.5130833
6.2	2506.781	0.5139271
6.21	2507.639	0.5147708
6.22	2511.644	0.5156041
6.23	2512.55	0.5164271
6.24	2517.176	0.5172604
6.25	2521.276	0.5180833
6.26	2521.801	0.5189062
6.27	2524.71	0.5197291
6.28	2527.857	0.5205521
6.29	2530.718	0.521375
6.3	2532.578	0.5221979
6.31	2531.576	0.5230312
6.32	2531.29	0.523875
6.33	2533.626	0.5247188
6.34	2537.155	0.5255521
6.35	2540.684	0.5263854
6.36	2544.403	0.5272188
6.37	2543.449	0.5280521
6.38	2545.261	0.528875
6.39	2546.883	0.5297083
6.4	2549.553	0.5305521
6.41	2553.844	0.5313854
6.42	2552.795	0.5322188
6.43	2555.466	0.5330625
6.44	2561.045	0.5339167
6.45	2563.572	0.5347708
6.46	2564.049	0.5356042
6.47	2565.384	0.5364375
6.48	2567.864	0.5372708
6.49	2569.294	0.5380833
6.5	2571.678	0.5389062
6.51	2575.779	0.5397292
6.52	2576.923	0.5405521
6.53	2577.686	0.541375
6.54	2578.306	0.5421979
6.55	2580.5	0.5430312
6.56	2582.026	0.5438645
6.57	2583.313	0.5447083
6.58	2585.268	0.5455521
6.59	2587.652	0.5463854
6.6	2589.703	0.5472187
6.61	2591.467	0.5480521
6.62	2593.422	0.548875
6.63	2597.475	0.5497083
6.64	2599.43	0.5505416
6.65	2599.812	0.551375
6.66	2602.243	0.5522083
6.67	2603.388	0.5530521
6.68	2604.961	0.5538958
6.69	2606.773	0.5547396
6.7	2609.014	0.5555833
6.71	2609.301	0.5564271
6.72	2613.401	0.5572708
6.73	2615.309	0.5580937
6.74	2616.262	0.5589167
6.75	2617.312	0.55975
6.76	2620.173	0.5605729
6.77	2622.414	0.5613958
6.78	2621.126	0.5622187
6.79	2623.272	0.5630417
6.8	2626.419	0.563875
6.81	2630.806	0.5647084
6.82	2631.664	0.5655521
6.83	2631.044	0.5663854
